City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Grand Gaube,MU,2022-07-10 22:32:42,-20.0064,57.6608,70.38,64,79,10.0
274,Hobyo,SO,2022-07-10 22:32:42,5.3505,48.5268,76.03,79,100,23.69
275,Sovetskaya Gavan,RU,2022-07-10 22:32:42,48.9723,140.2878,63.82,87,100,2.33
276,Koson,UZ,2022-07-10 22:32:43,39.0375,65.585,71.92,25,0,11.56
277,Antofagasta,CL,2022-07-10 22:32:43,-23.65,-70.4,58.28,76,100,1.61
278,Sao Joao Da Barra,BR,2022-07-10 22:32:44,-21.6403,-41.0511,71.69,82,26,15.23
279,New Norfolk,AU,2022-07-10 22:32:44,-42.7826,147.0587,49.91,79,100,3.04
280,Loudi,CN,2022-07-10 22:32:44,27.7344,111.9944,80.04,86,14,2.48
281,Poum,NC,2022-07-10 22:32:45,-20.2333,164.0167,76.96,84,2,13.06
282,Dharmadam,IN,2022-07-10 22:33:45,11.7833,75.4333,78.6,83,99,14.12
283,Nanakuli,US,2022-07-10 22:33:45,21.3906,-158.1547,87.75,49,20,10.36
284,Batagay,RU,2022-07-10 22:33:46,67.6333,134.6333,61.45,73,100,2.73
285,Rabo De Peixe,PT,2022-07-10 22:33:46,37.8,-25.5833,68.27,72,75,8.05
286,Banjar,ID,2022-07-10 22:33:46,-8.19,114.9675,76.84,88,99,3.56
287,Monclova,MX,2022-07-10 22:33:47,26.9,-101.4167,103.05,23,40,9.22
288,Pisco,PE,2022-07-10 22:33:47,-13.7,-76.2167,62.65,77,40,20.71
289,Aliaga,PH,2022-07-10 22:33:47,15.5167,120.8667,81.9,85,47,2.84
290,Puerto Escondido,MX,2022-07-10 22:33:48,15.85,-97.0667,86.83,62,40,5.75
291,Mahina,PF,2022-07-10 22:33:48,-17.5065,-149.489,82.17,65,75,5.75
292,Severomuysk,RU,2022-07-10 22:33:48,56.1481,113.4267,45.59,97,100,3.71
293,Aripuana,BR,2022-07-10 22:33:49,-9.1667,-60.6333,79.54,57,37,2.15
